,['prognosis']_Chikungunya,['prognosis']_Dengue,['prognosis']_Japanese_encephalitis,['prognosis']_Lyme_disease,['prognosis']_Malaria,['prognosis']_Plague,['prognosis']_Rift_Valley_fever,['prognosis']_Tungiasis,['prognosis']_West_Nile_fever,['prognosis']_Yellow_Fever,['prognosis']_Zika
0,1,4.75E-101,1,1,1,4.13E-148,1,6.61E-105,1.26E-74,1.69E-73,0.999998901
1,1,4.22E-101,1,1,1,3.91E-148,1,2.71E-105,2.26E-74,8.17E-74,0.999999661
2,1,3.31E-102,1,1,1,7.60E-148,1,2.33E-105,1.69E-75,6.15E-73,0.999999211
3,1,3.57E-102,1,1,1,1.23E-148,1,6.40E-106,3.40E-74,1.77E-73,0.999999273
4,1,3.87E-103,1,1,1,1.44E-147,1,1.99E-105,8.49E-75,5.30E-74,0.999999942
5,1,3.11E-102,1,1,1,4.17E-148,1,1.58E-106,2.57E-76,1.29E-73,0.999999768
6,1,7.55E-103,1,1,1,1.25E-147,1,1.47E-106,1.45E-75,6.37E-75,0.999998178
7,1,2.28E-101,1,1,1,1.98E-148,1,6.29E-106,6.40E-76,1.18E-75,0.999999964
8,1,7.60E-103,1,1,1,5.96E-149,1,3.76E-106,4.42E-76,1.61E-73,0.99999997
9,1,3.46E-102,1,1,1,4.37E-149,1,2.61E-106,2.36E-76,1.20E-73,0.999999968
10,1,7.64E-103,1,1,1,5.15E-149,1,6.89E-106,2.21E-76,2.60E-75,0.999999991
11,1,1.20E-102,1,1,1,6.15E-150,1,1.92E-106,2.85E-76,5.87E-76,0.999999777
12,1,3.60E-104,1,1,1,3.12E-149,1,1.51E-106,2.01E-75,2.04E-75,0.999999469
13,1,3.15E-102,1,1,1,1.99E-150,1,1.27E-106,3.06E-76,1.96E-75,0.999999888
14,1,8.73E-104,1,1,1,2.25E-149,1,1.34E-107,3.37E-76,5.00E-75,0.999999866
15,1,8.49E-104,1,1,1,8.96E-150,1,1.94E-106,8.95E-77,3.19E-74,0.999999948
16,1,3.49E-104,1,1,1,1.97E-150,1,5.63E-108,3.68E-76,3.85E-75,0.999999978
17,1,3.21E-103,1,1,1,1.11E-151,1,6.28E-106,8.58E-77,6.60E-76,0.999999429
18,1,7.61E-103,1,1,1,1.49E-151,1,1.38E-107,2.19E-76,6.17E-76,0.999999874
19,1,2.59E-104,1,1,1,2.47E-151,1,1.08E-107,2.89E-76,4.23E-75,0.999999796
20,1,5.97E-106,1,1,1,6.92E-151,1,1.32E-108,3.45E-77,9.44E-76,0.99999328
21,1,8.52E-105,1,1,1,4.53E-151,1,4.85E-108,1.36E-76,5.90E-76,0.999999845
22,1,1.00E-104,1,1,1,7.94E-152,1,2.94E-109,1.40E-77,2.44E-76,0.999975029
23,1,1.18E-104,1,1,1,2.81E-151,1,2.21E-109,4.12E-77,1.40E-76,0.999999832
24,1,1.27E-102,1,1,1,5.04E-152,1,1.72E-108,1.51E-77,2.91E-77,0.999999923
25,1,9.54E-104,1,1,1,4.99E-153,1,1.91E-108,9.96E-78,1.84E-76,0.999999971
26,1,1.22E-103,1,1,1,8.91E-154,1,2.09E-109,1.16E-76,6.86E-77,0.999996011
27,1,1.14E-105,1,1,1,2.06E-152,1,9.17E-110,1.60E-77,2.03E-75,0.999999978
28,1,1.67E-105,1,1,1,3.02E-152,1,1.63E-109,5.93E-78,4.77E-76,0.999999934
29,1,4.29E-104,1,1,1,7.43E-153,1,4.42E-110,1.66E-78,5.45E-77,0.999999122
30,1,7.57E-106,1,1,1,3.65E-153,1,2.03E-109,4.09E-78,2.19E-76,0.999999931
31,1,5.65E-106,1,1,1,1.41E-154,1,2.96E-108,2.47E-78,2.93E-77,0.999999805
32,1,1.16E-104,1,1,1,6.32E-154,1,1.27E-110,4.21E-77,9.94E-78,0.999999577
33,1,2.05E-106,1,1,1,3.03E-153,1,3.05E-111,2.05E-77,9.00E-77,0.999999951
34,1,1.64E-106,1,1,1,1.81E-154,1,9.19E-111,2.16E-78,3.52E-78,0.999999829
35,1,1.47E-106,1,1,1,3.79E-153,1,2.91E-110,9.01E-79,1.27E-77,0.99999999
36,1,1.75E-105,1,1,1,8.19E-155,1,3.22E-110,1.17E-78,1.35E-77,0.999999988
37,1,9.35E-107,1,1,1,4.62E-154,1,1.71E-110,3.11E-78,2.68E-77,0.999999951
38,1,2.89E-108,1,1,1,2.08E-156,1,1.70E-109,2.39E-78,6.01E-79,0.999997618
39,1,8.59E-108,1,1,1,2.17E-156,1,8.91E-112,3.79E-78,7.27E-77,0.999999931
40,1,2.73E-107,1,1,1,2.19E-155,1,6.57E-112,1.38E-78,2.32E-77,0.999999988
41,1,5.39E-106,1,1,1,1.60E-156,1,8.67E-111,4.34E-79,2.28E-78,0.999999939
42,1,2.19E-107,1,1,1,4.76E-155,1,3.34E-111,5.22E-79,4.07E-77,0.999999965
43,1,1.50E-107,1,1,1,1.34E-156,1,2.55E-111,4.35E-80,1.28E-77,0.999999966
44,1,3.16E-106,1,1,1,1.16E-156,1,1.58E-111,2.22E-79,7.51E-79,0.999999946
45,1,6.55E-107,1,1,1,1.06E-156,1,1.97E-112,2.70E-78,1.63E-79,0.999999975
46,1,2.71E-106,1,1,1,5.14E-157,1,2.71E-111,4.79E-80,4.87E-79,0.999999975
47,1,2.78E-108,1,1,1,2.59E-156,1,3.53E-113,2.36E-79,5.95E-79,0.99999931
48,1,5.24E-109,1,1,1,2.95E-157,1,2.05E-112,1.11E-79,6.20E-78,0.999999865
49,1,4.55E-108,1,1,1,7.76E-158,1,1.02E-109,1.45E-79,4.55E-80,0.999999834
50,1,2.40E-107,1,1,1,8.21E-158,1,1.86E-113,5.28E-80,6.70E-80,0.999999416
51,1,6.51E-108,1,1,1,7.51E-158,1,7.93E-112,3.07E-80,1.20E-78,0.999999863
52,1,9.76E-109,1,1,1,1.09E-157,1,9.86E-113,1.21E-79,2.65E-79,0.999937816
53,1,4.88E-109,1,1,1,7.38E-158,1,2.88E-113,9.53E-81,4.26E-79,0.999999989
54,1,1.70E-108,1,1,1,5.37E-158,1,5.84E-113,1.36E-79,1.83E-80,0.999999994
55,1,1.48E-109,1,1,1,4.83E-159,1,2.57E-114,6.40E-80,1.03E-79,0.999998762
56,1,3.79E-108,1,1,1,8.69E-160,1,8.33E-113,6.87E-81,1.85E-80,0.999999975
57,1,3.55E-108,1,1,1,1.78E-159,1,3.00E-113,4.10E-81,1.05E-79,0.999999964
58,1,1.89E-107,1,1,1,5.81E-160,1,1.60E-113,5.97E-80,5.19E-81,0.999999986
59,1,2.21E-108,1,1,1,1.42E-159,1,1.51E-112,5.10E-81,3.22E-80,0.999999931
60,1,4.33E-109,1,1,1,8.65E-159,1,5.47E-114,4.91E-81,3.20E-80,0.999999962
61,1,9.43E-110,1,1,1,1.24E-159,1,2.22E-114,1.65E-81,8.77E-80,0.999999974
62,1,1.44E-111,1,1,1,2.47E-159,1,8.69E-116,1.01E-80,4.60E-80,0.999999865
63,1,1.28E-109,1,1,1,9.24E-161,1,2.67E-114,9.95E-82,4.66E-80,0.999999962
64,1,1.23E-109,1,1,1,1.15E-161,1,2.35E-112,2.01E-81,4.12E-81,0.999999843
65,1,1.00E-111,1,1,1,1.20E-159,1,2.97E-115,1.05E-80,1.07E-80,0.999999952
66,1,1.43E-110,1,1,1,2.45E-160,1,2.16E-114,7.59E-82,1.63E-80,0.999999997
67,1,1.05E-110,1,1,1,3.87E-160,1,6.51E-116,1.12E-81,1.26E-80,0.999999613
68,1,2.12E-110,1,1,1,3.45E-161,1,1.81E-114,4.29E-82,4.09E-81,0.999999992
