,['prognosis']_Chikungunya,['prognosis']_Dengue,['prognosis']_Japanese_encephalitis,['prognosis']_Lyme_disease,['prognosis']_Malaria,['prognosis']_Plague,['prognosis']_Rift_Valley_fever,['prognosis']_Tungiasis,['prognosis']_West_Nile_fever,['prognosis']_Yellow_Fever,['prognosis']_Zika
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3597628395435013
1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.15068730047235668
2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.41585840891052006
3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.17506292453793337
4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05355587120256344
5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.04891329474421391
6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6771712260165654
7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.046534681806696065
8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.006627039787696631
9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.010534177939711231
10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.009777704548548982
11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09491239092672243
12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.31959809551949914
13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.11038330249997441
14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05618028610872261
15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09045053962998306
16,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0328720400892184
17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.17526531830649628
18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.18556285860364974
19,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05441802419270336
20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.454667718169682
21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09437460442933565
